web-scraper-order,web-scraper-start-url,nama,kewarganegaraan,tipe_pelanggan,tipe_kamar,rating,judul_review,deskripsi,tanggal_review,periode_menginap
1745475234-1,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Nurul,Hong Kong,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"10,0",“Sraycation dengan BESTie...”,"Awalnya penasaran dengan hotel ini karena dpt rekomendasi dari tmn2 katanya tempatnya nyaman dan makanannya enak2, akhirnya nyobain dan ternyata benar semua memuaskan next pengen nginep lagi disini",Diulas pada 09 Maret 2025,Menginap 1 malam pada Maret 2025
1745475234-2,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Sgh,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang Twin,"10,0",“Rekomendasi hotel Bintang Lima di Surabaya untuk staycation”,"Hotel keren di jantung Kota Surabaya, suasananya terasa seperti tidak berada ditengah Kota surabaya, lebih seperti berada di Bali. Makanannya enak2, staf, satpam dan ob semuanya ramah, recommended banget dah",Diulas pada 29 Januari 2025,Menginap 1 malam pada Januari 2025
1745475234-3,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rara,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,2",“Happy!”,"Pengalaman menginap yang menyenangkan. Hotelnya besar, asri, staff ramah, kamarnya super bersih, super duper nyaman, kamar sunyi tidurpun lelap suara kendaraan dari jalan raya tidak terdengar (tidak bising), fasilitas lengkap terawat, semua menu sarapan enak dan banyak pilihan, lokasi oke di tengah kota, dengan harga yang lumayan terjagkau saya sangat puas dengan apa yang saya dapat. Yang kurang hanya parkiran mobil, karna mobil saya tinggi tidak bisa masuk ke parkiran alhasil sempat nyangkut dan lucu nya di awal solusi dari hotel disuruh parkir dibagian samping hotel dan keluarnya mundur melewati barrier gate parking. Solusi kedua, saya minta parkir di depan lobby utama tetapi disuruh bayar parkir VIP /hari setelah nego karna menginap 3hari baru dikasih free. Semoga kedepannya bisa lebih baik lagi memberikan kompensasi terkait hal ini. 
Terlepas dari masalah parkir, definitely will come back again..",Diulas pada 26 September 2022,Menginap 2 malam pada Mei 2022
1745475234-4,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Cremlin,Indonesia,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"9,2",“Homy & Cozy”,All the best untuk Hotel ini ... Puas dan Nyaman serta suka sama segala fasilitasnya lengkap lalu makanan nya juga sesuai selera dan banyak ragam nya 👍🏻👍🏻,Diulas pada 18 Maret 2025,Menginap 2 malam pada Juni 2024
1745475234-5,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Erni,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Bagus... kamar luas dan bersih walaupun interior terkesan lama”,"Pelayanan ok, makan juga.
Walaupun WCnya terkesan lama, tp cukup bersih. Hanya sayang bathtubenya ada yg pecah / cuil, tp gk sempet nyoba.. malas wkakakakkaa
Akhirnya oesan paket dinner seharga 257k/org. Enak teppanyaki salmonnya dan vegetablenya.
Sarapan nambah 1 org bayar 197. Semua sudah hrg nett.",Diulas pada 01 Desember 2024,Menginap 1 malam pada November 2024
1745475234-6,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Erlyna,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"9,6",“Staycation di Tengah Kota Surabaya ”,"Untuk kecepatan check-in luar biasa sat set. Staff melayani dengan hangat dan ramah. Fasilitas kamar sesuai dengan yang diminta. Kebersihan kamar juga oke. Interior hotelnya cantik dan elegan. Akses yang pas ditengah kota, memudahkan jika mau sekedar jalan-jalan untuk menikmati suasana kota atau kulineran karena dekat juga dengan Tunjungan Plaza Mall. Saya sangat terkesan, pertahankan pelayanan yang sangat baik itu. Bravo untuk semua staffnya.",Diulas pada 20 Mei 2024,Menginap 1 malam pada Mei 2024
1745475234-7,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,hilda,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Hotel fav keluarga”,"Udah langganan nginep di sini tiap ke surabaya. Kamar bersih, luas, nyaman puolll. Fasilitas paling saya suka jacuzzi di kolam renang dan fasilitas gymnya. Terima kasih bumi sarabayaa, terutama staffnya yg ramah, helpful dan gercep🫶🏻",Diulas pada 03 Januari 2025,Menginap 2 malam pada Januari 2025
1745475234-8,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Lily,Australia,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"9,6",“Hotel yang bagus di CBD sangat hijau.”,"Saya memesan hanya untuk satu malam untuk menghadiri reuni sekolah, kelompok tersebut telah memesan saya di hotel lain selama 3 malam.

Saya khusus memesan di The Bumi hanya untuk merasakan kembali kenangan saya ketika saya bekerja di Finna golf & country club yang kantornya di Hyatt. 
Saya sangat menyukai semuanya di The Bumi, sangat indah, hijau, bersih, dan semua stafnya sangat ramah dan membantu. Pasti akan kembali lain kali saat liburan dan menginap lebih lama. 

Sarapan sangat menyenangkan dengan banyak variasi makanan, terutama makanan tradisional Indonesia (makanan Jawa atau Surabaya), itu salah satu alasan ketika saya datang ke Surabaya atau Bali 👍💚

Ngomong-ngomong ada sedikit masalah, brankas tidak berfungsi karena tidak ada baterai. Tapi saya tidak keberatan meminta mereka untuk memperbaikinya karena saya hanya menginap selama 1 malam. Meskipun staf menawarkan untuk memanggil teknisi untuk memperbaikinya.

Itu saja yang bisa saya katakan, hanya masalah kecil. 
Tapi sangat-sangat direkomendasikan untuk menginap di The Bumi baik untuk bisnis atau liburan pribadi. 👍💚",Diulas pada 29 November 2024,Menginap 1 malam pada November 2024
1745475234-9,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Azizah,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,6",“Hotel yang nyaman”,"Lokasi strategis, seluruh staf sangat ramah. 

Meskipun lift sempat trouble pada saat sedang banyak tamu, tapi solusi yang diberikan bagus dan respon terhadap keluhan atau pertanyaan juga cepat dan ramah. 

Mungkin jenis makanan nya bisa lebih beragam. Tapi yang ada sudah enak kok. Yang jelas puas telah memilih hotel ini.",Diulas pada 28 September 2024,Menginap 2 malam pada September 2024
1745475234-10,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Mochammad,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Staycation yang menyenangkam”,Hotel yg nyaman dan bagus untuk staycation bersama keluarga. Variasi makanan dan minuman yang banyak dan enak. Kolam renang yang memadai membuat waktu bersama keluarga lebih ceria dan harmonis. Suasana kamar yang nyaman membuat tidur / istirahat berkualitas,Diulas pada 27 Oktober 2024,Menginap 1 malam pada Oktober 2024
1745475234-11,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Nurul,Hong Kong,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"10,0",“Sraycation dengan BESTie...”,"Awalnya penasaran dengan hotel ini karena dpt rekomendasi dari tmn2 katanya tempatnya nyaman dan makanannya enak2, akhirnya nyobain dan ternyata benar semua memuaskan next pengen nginep lagi disini",Diulas pada 09 Maret 2025,Menginap 1 malam pada Maret 2025
1745475234-12,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Sgh,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang Twin,"10,0",“Rekomendasi hotel Bintang Lima di Surabaya untuk staycation”,"Hotel keren di jantung Kota Surabaya, suasananya terasa seperti tidak berada ditengah Kota surabaya, lebih seperti berada di Bali. Makanannya enak2, staf, satpam dan ob semuanya ramah, recommended banget dah",Diulas pada 29 Januari 2025,Menginap 1 malam pada Januari 2025
1745475234-13,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rara,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,2",“Happy!”,"Pengalaman menginap yang menyenangkan. Hotelnya besar, asri, staff ramah, kamarnya super bersih, super duper nyaman, kamar sunyi tidurpun lelap suara kendaraan dari jalan raya tidak terdengar (tidak bising), fasilitas lengkap terawat, semua menu sarapan enak dan banyak pilihan, lokasi oke di tengah kota, dengan harga yang lumayan terjagkau saya sangat puas dengan apa yang saya dapat. Yang kurang hanya parkiran mobil, karna mobil saya tinggi tidak bisa masuk ke parkiran alhasil sempat nyangkut dan lucu nya di awal solusi dari hotel disuruh parkir dibagian samping hotel dan keluarnya mundur melewati barrier gate parking. Solusi kedua, saya minta parkir di depan lobby utama tetapi disuruh bayar parkir VIP /hari setelah nego karna menginap 3hari baru dikasih free. Semoga kedepannya bisa lebih baik lagi memberikan kompensasi terkait hal ini. 
Terlepas dari masalah parkir, definitely will come back again..",Diulas pada 26 September 2022,Menginap 2 malam pada Mei 2022
1745475234-14,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Cremlin,Indonesia,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"9,2",“Homy & Cozy”,All the best untuk Hotel ini ... Puas dan Nyaman serta suka sama segala fasilitasnya lengkap lalu makanan nya juga sesuai selera dan banyak ragam nya 👍🏻👍🏻,Diulas pada 18 Maret 2025,Menginap 2 malam pada Juni 2024
1745475234-15,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Erni,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Bagus... kamar luas dan bersih walaupun interior terkesan lama”,"Pelayanan ok, makan juga.
Walaupun WCnya terkesan lama, tp cukup bersih. Hanya sayang bathtubenya ada yg pecah / cuil, tp gk sempet nyoba.. malas wkakakakkaa
Akhirnya oesan paket dinner seharga 257k/org. Enak teppanyaki salmonnya dan vegetablenya.
Sarapan nambah 1 org bayar 197. Semua sudah hrg nett.",Diulas pada 01 Desember 2024,Menginap 1 malam pada November 2024
1745475234-16,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rhany,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang Twin,"9,6",“Breakfast luarbiasa”,"Salah satu yg membuat kita kembali lagi kesini adalah breakfastnya yg sangat bervariasi dan semuanya enak. Betul2 sangat banyak macamnya, ada menu indonesia seperti pecel, gado3, nasi kuning, indomie, soto/ rawon, bubur tradisional, bubur kacang hijau, bubur sumsum, bubur candil dan delima, ada menu western sosis, potato wedges, bread, waffle, pancake, kue2 dessert, menu japanesse, sushi dll.
Kamarnya ukuran besar, ada bathup, shower, hairdyer, ac, welcome drink, amenities dan sandal kamar.",Diulas pada 17 Februari 2025,Menginap 1 malam pada Februari 2025
1745475234-17,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rhany,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"9,6",“Breakfast must try”,"Salah satu yg membuat kita kembali lagi kesini adalah breakfastnya yg sangat bervariasi dan semuanya enak. Betul2 sangat banyak macamnya, ada menu indonesia seperti pecel, gado3, nasi kuning, indomie, soto/ rawon, bubur tradisional, bubur kacang hijau, bubur sumsum, bubur candil dan delima, ada menu western sosis, potato wedges, bread, waffle, pancake, kue2 dessert, menu japanesse, sushi dll.
Kamarnya ukuran besar, ada bathup, shower, hairdyer, ac, welcome drink, amenities dan sandal kamar.",Diulas pada 17 Februari 2025,Menginap 1 malam pada Februari 2025
1745475234-18,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Andreas,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang Twin,"10,0",“Pengalaman Menginap yang Hebat”,"""Saya telah menginap di sini dua kali sekarang, dan saya sudah terikat! Lokasi hotel yang utama, kebersihan yang sempurna, dan fasilitas yang luar biasa (termasuk kolam renang besar) membuatnya menjadi pemenang total. Kamar-kamarnya luas dan nyaman, menjadikannya pilihan yang sempurna bagi siapa pun yang mencari pengalaman menginap yang hebat.""",Diulas pada 14 April 2025,Menginap 1 malam pada April 2025
1745475234-19,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Dea,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Liburan tahun baru ”,"Kami menginap 4 hari Tempatnya nyaman, pilihan menu makanan banyak, staf nya ramah, saat tahun baru ada acara khusus untuk merayakannya pergantian tahun, recommended",Diulas pada 02 Januari 2025,Menginap 1 malam pada Desember 2024
1745475234-20,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Amalia,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"9,6",“Spektakuler”,"Seru banget, buat bawa anak2 enak bisa kasi2 makan ikan, menu breakfast nya juga buanyak pilihan, nyaman, asri,
Kamar bersih, luas, pelayanan bagus pol,
Cuman kurangnya 1, kamar mandi nya gaada itu tu apa ya namanya yg bikin udara bertukar itu lo yg bisa bikin kering kalo becek2, gaada itu jadi kalo abis mandi becek ga ilang2",Diulas pada 12 Mei 2024,Menginap 3 malam pada April 2024
1745475234-21,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Sri,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,"Lokasi lumayan strategis, kamar tidur cocok utk istirahat tapi tidak untuk bekerja krn pencahayaannya. Fasilitas lengkap , menu sarapan sangat variatif dan tasty.
Sempat terganggu dengan rombongan ibu2 yg foto2 & tik tokan di lobi seharusnya bisa ditertibkan. 
Terimakasih atas pelayanan yg ramah.",Diulas pada 05 April 2025,Menginap 2 malam pada April 2025
